College ID,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,State,College Type,Management Type,Expected Salary,Salary Tier,Entrance Test
U-0306,Indian Institute Of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,1,1,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1880000,1,JEE Advanced
U-0306,Indian Institute Of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,1,1,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1880000,1,JEE Advanced
U-0306,Indian Institute Of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,1,2,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1880000,1,JEE Advanced
U-0100,Indian Institute Of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,2,2,Delhi,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2050000,1,JEE Advanced
U-0237,National Institute Of Technology Karnataka Surathkal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Gender-Neutral,2,2,Karnataka,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1170751,1,JEE Main
U-0306,Indian Institute Of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1,3,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1880000,1,JEE Advanced
U-0306,Indian Institute Of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,3,3,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1880000,1,JEE Advanced
U-0100,Indian Institute Of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,3,3,Delhi,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2050000,1,JEE Advanced
U-0100,Indian Institute Of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,3,3,Delhi,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2050000,1,JEE Advanced
U-0100,Indian Institute Of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,3,3,Delhi,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2050000,1,JEE Advanced
U-0517,Indian Institute Of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,4,4,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2192875,1,JEE Advanced
U-0517,Indian Institute Of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,4,4,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2192875,1,JEE Advanced
U-0456,Indian Institute Of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,4,4,Tamil Nadu,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1628770,1,JEE Advanced
U-0456,Indian Institute Of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,4,4,Tamil Nadu,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1628770,1,JEE Advanced
U-0100,Indian Institute Of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,5,5,Delhi,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2050000,1,JEE Advanced
U-0013,Indian Institute Of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,5,5,Telangana,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1911000,1,JEE Advanced
U-0025,National Institute Of Technology Warangal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST (PwD),Gender-Neutral,5,5,Telangana,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1260546,1,JEE Main
U-0573,Indian Institute Of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,6,6,West Bengal,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1767753,1,JEE Advanced
U-0517,Indian Institute Of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,6,6,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2192875,1,JEE Advanced
U-0053,Indian Institute Of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,6,6,Assam,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2164500,1,JEE Advanced
